ID_Evento,Cant_Semillas,Cult_ant,Poblacion,Origen_sem,ContEnfQuí,ContMalQuí,ContPlaQuí,AcmFerEnm,AcmFerOrg,AcmFerQui,TotN,TotP,TotK,Pendiente,pH,Estructura,Prof_efectiva,Textura,Materia_Organica,RDT
57,24,Frijol,27600,La misma finca,9,0,4,0,2000,250,25,75,25,11.3,5,GRANULAR,61,F,MEDIA,1200
58,24,Pasto,26400,La misma finca,9,0,4,0,1000,200,30,30,30,31.6,4,GRANULAR,55,FAr,MEDIA,1320
59,25,Frijol,27600,La misma finca,10,0,5,0,800,300,45,45,45,46.5,5,GRANULAR,61,ArA,MEDIA,1900
60,32,Frijol,36000,La misma finca,8,0,8,0,2000,675,162,114.75,0,65,4.5,GRANULAR,72,F,MEDIA,2400
61,32,Frijol,37200,La misma finca,11,0,2,0,200,675,162,114.75,0,48.5,5,GRANULAR,83,FAr,MEDIA,2560
62,24,Frijol,27600,La misma finca,10,0,3,0,1333,500,75,75,75,67,4.5,GRANULAR,60,F,MEDIA,1750
63,30,Frijol,34800,La misma finca,11,0,4,0,100,300,45,45,45,63,4,GRANULAR,70,FA,MEDIA,2400
64,24,Yuca,27600,La misma finca,8,0,7,0,400,750,112.5,112.5,112.5,61.1,4,GRANULAR,69,F,MEDIA,1200
65,24,Frijol,27600,La misma finca,9,0,5,0,2000,300,45,45,45,35,4,GRANULAR,40,F,MEDIA,1875
66,24,Maiz,26400,La misma finca,6,0,6,0,2000,400,40,120,40,45.5,4.5,GRANULAR,60,F,MEDIA,840
67,24,Frijol,26400,La misma finca,10,0,3,0,1000,300,45,45,45,35.2,5,GRANULAR,65,FAr,MEDIA,2040
68,24,Frijol,27600,La misma finca,11,0,3,0,2000,300,45,45,45,53.3,4.5,GRANULAR,65,F,MEDIA,1500
69,24,Papa,27600,La misma finca,9,0,5,0,0,350,52.5,52.5,52.5,39.7,4,GRANULAR,50,Ar,MEDIA,1866.6
70,24,Frijol,26400,La misma finca,11,0,5,0,2000,300,30,90,30,35,5,GRANULAR,70,L,MEDIA,1625
71,30,Frijol,34800,La misma finca,14,0,3,0,2000,300,45,45,45,55,4.5,GRANULAR,55,FrL,MEDIA,2100
72,24,Frijol,26400,La misma finca,10,0,4,0,0,300,30,90,30,53,4,GRANULAR,62,FrL,MEDIA,1300
73,24,Frijol,27600,La misma finca,11,0,4,0,2000,300,30,90,30,53,4,GRANULAR,55,F,MEDIA,1750
74,27,Maiz,33605,Otra finca,12,3,10,600,0,600,75,84,105,25,5,GRANULAR,60,FAr,MEDIA,1375
75,26,Frijol,30000,La misma finca,8,0,5,0,3000,350,45,68.5,15,45,4.5,GRANULAR,55,L,MEDIA,2133.3
76,24,Frijol,27600,La misma finca,6,0,6,0,2850,550,55,165,55,52,5,GRANULAR,42,FrL,MEDIA,2142
77,24,Frijol,27600,La misma finca,9,0,4,0,4000,500,75,75,75,43,4,GRANULAR,54,L,MEDIA,3000
78,32,Frijol,37200,La misma finca,6,0,5,0,3000,500,75,75,75,23,5,GRANULAR,61,L,MEDIA,2700
79,30,Frijol,34800,La misma finca,14,0,3,0,2500,400,66,122,30,53,5,GRANULAR,52,F,MEDIA,2100
80,23,Frijol,26400,La misma finca,11,0,3,0,2250,350,61,106,20,63,5,GRANULAR,53,L,MEDIA,1500
81,28,Frijol,32400,La misma finca,4,0,6,0,2000,550,82.5,82.5,82.5,38,4.5,GRANULAR,42,F,MEDIA,1400
82,30,Frijol,34800,La misma finca,8,0,5,0,3000,300,45,45,45,28,5,GRANULAR,50,F,MEDIA,1500
83,24,Frijol,27600,La misma finca,9,0,4,0,1071,300,45,45,45,41,4.5,GRANULAR,55,FrL,MEDIA,2142
84,23,Frijol,26400,La misma finca,11,0,4,0,1666,250,27.5,67.5,27.5,43,5,GRANULAR,55,F,MEDIA,1000
85,25,Frijol,27600,La misma finca,6,0,8,0,2000,300,45,45,45,36,5,GRANULAR,45,FA,MEDIA,1650
86,24,Frijol,27600,La misma finca,8,0,4,0,2500,500,65,130,30,42,4,GRANULAR,60,F,MEDIA,1666
87,24,Frijol,27600,La misma finca,6,0,6,0,2000,300,45,45,45,28,4,GRANULAR,40,FrL,MEDIA,1440
88,23,Frijol,27600,La misma finca,7,0,5,0,2000,250,27.5,67.5,27.5,38,5,GRANULAR,35,FAr,MEDIA,1400
89,25,Frijol,28800,La misma finca,7,0,5,0,1250,400,60,60,60,40,5,GRANULAR,45,FAr,MEDIA,1875
90,28,Frijol,32400,La misma finca,9,0,3,0,2500,400,48.5,103.5,22.5,53,4.5,GRANULAR,34,F,MEDIA,2800
91,25,Frijol,28800,La misma finca,10,0,2,0,100,225,24.75,64.5,19.5,63,4.5,GRANULAR,57,F,MEDIA,1125
92,38,Frijol,44400,La misma finca,8,0,4,0,2000,150,15,45,15,48,5,GRANULAR,50,F,MEDIA,1400
93,24,Frijol,27600,La misma finca,9,0,4,0,2000,500,62.5,112.5,62.5,54,5,GRANULAR,55,AF,MEDIA,1500
94,24,Frijol,27600,La misma finca,11,0,3,0,2000,300,45,45,45,51,5,GRANULAR,41,FrL,MEDIA,672
95,25,Frijol,28800,La misma finca,10,0,7,0,1750,175,41.75,42.5,4.5,42.7,5,GRANULAR,59,FA,MEDIA,1750
96,25,Frijol,28800,La misma finca,13,0,4,0,2000,300,54,138,0,19.6,4,GRANULAR,60,FAr,MEDIA,1750
97,38,Frijol,44400,La misma finca,9,0,5,0,1500,300,48,75,25,35,5,GRANULAR,45,F,MEDIA,1200
98,24,Frijol,27600,La misma finca,9,0,7,0,2000,300,45,45,45,53,4,GRANULAR,62,FrL,MEDIA,1560
99,24,Frijol,27600,La misma finca,11,0,3,0,2000,300,45,45,45,39,5,GRANULAR,65,FAr,MEDIA,3000
100,35,Frijol,40800,La misma finca,8,0,8,0,2500,500,50,150,50,38,4,GRANULAR,35,FA,MEDIA,1225
101,24,Frijol,27600,La misma finca,11,0,4,0,2250,500,56.25,131.25,56.25,,,,,,,
102,24,Frijol,27600,La misma finca,10,0,3,0,1200,300,32.5,82.5,32.5,78,4,GRANULAR,55,FAr,MEDIA,1350
103,25,Frijol,28800,La misma finca,9,0,7,0,2000,300,45,45,45,78,5,GRANULAR,55,L,MEDIA,1776
104,24,Frijol,27600,La misma finca,7,0,5,0,2000,350,42,91.5,31.5,45,4.5,GRANULAR,55,FrL,MEDIA,1440
105,38,Frijol,44400,La misma finca,7,0,7,0,2000,150,22.5,22.5,22.5,54,5,GRANULAR,55,FAr,MEDIA,1600
106,30,Frijol,34800,La misma finca,10,1,4,0,2000,300,41,102,16,63,4,GRANULAR,65,FAr,MEDIA,840
107,38,Frijol,43200,La misma finca,9,0,6,0,2857,332,37.46,93.92,27.52,35,5,GRANULAR,70,L,MEDIA,2666.6
108,25,Frijol,30420,La misma finca,11,2,9,0,0,561.01,80.325,138.67,65.165,4.5,4.5,GRANULAR,60,FrL,MEDIA,1625
109,27,Maiz,33222,La misma finca,10,2,9,0,0,970,97,232.8,116.4,7.8,4,ATERRONADA,60,FA,MEDIA,833
110,23,Frijol,26400,La misma finca,10,0,5,0,250,300,45,45,45,52,4,GRANULAR,45,FrL,MEDIA,1600
111,23,Frijol,26400,La misma finca,8,0,5,0,1000,250,37.5,37.5,37.5,63,4,GRANULAR,46,FrL,MEDIA,1000
112,30,Frijol,34800,La misma finca,9,0,5,0,2000,600,80,120,80,38,4.5,GRANULAR,44,F,MEDIA,2600
113,30,Frijol,34800,La misma finca,12,0,6,0,2000,400,46,40,30,32,5,GRANULAR,48,FA,BAJA,2400
114,25,Frijol,28800,La misma finca,7,0,5,0,150,400,60,60,60,35,4,GRANULAR,59,F,MEDIA,800
115,25,Frijol,28800,La misma finca,8,0,6,0,2500,500,62.5,112.5,62.5,35,4,GRANULAR,59,F,MEDIA,2000
116,24,Frijol,27600,La misma finca,12,0,1,0,2000,900,118,226,100,59,5,GRANULAR,51,F,MEDIA,2333
117,30,Frijol,34800,La misma finca,7,0,4,0,0,450,129.5,37.5,37.5,48,5,GRANULAR,56,F,MEDIA,1800
118,24,Frijol,27600,La misma finca,6,0,5,0,2800,800,216,20,0,51,4.5,GRANULAR,52,F,MEDIA,2400
119,30,Frijol,34800,La misma finca,10,0,4,0,2000,500,152.5,37.5,37.5,42,5,GRANULAR,60,F,MEDIA,1500
120,30,Frijol,34800,La misma finca,9,0,3,0,2750,550,129,60,60,38,4.5,GRANULAR,55,FA,MEDIA,1500
121,24,Frijol,27600,La misma finca,9,0,5,0,2000,300,34.5,30,22.5,38,5,GRANULAR,57,FrL,MEDIA,2320
122,24,Frijol,27600,La misma finca,8,0,4,0,2000,200,30,30,30,63,5,GRANULAR,57,FrL,MEDIA,1150
123,24,Frijol,27600,La misma finca,8,0,2,0,2400,400,50,90,50,92,5,GRANULAR,65,F,MEDIA,1600
124,25,Frijol,28800,La misma finca,4,0,6,0,1750,350,45,75,45,81,5,GRANULAR,45,F,MEDIA,1500
125,24,Frijol,27600,La misma finca,6,0,4,0,0,450,49.5,75,37.5,63,5,GRANULAR,40,L,MEDIA,1680
126,24,Frijol,27600,La misma finca,7,0,5,0,2000,300,40,60,40,43,5,GRANULAR,47,F,MEDIA,1200
127,24,Frijol,27600,La misma finca,9,0,4,0,2000,500,111.5,82.5,42.5,62.1,5,GRANULAR,55,FAr,MEDIA,2333
128,24,Frijol,27600,La misma finca,7,0,5,0,2000,400,60,60,60,49.3,4,GRANULAR,54,F,MEDIA,1400
129,25,Frijol,28800,La misma finca,7,0,7,0,2000,400,56,152,20,46.4,5,GRANULAR,57,F,MEDIA,1500
130,24,Granadilla,29331,La misma finca,12,3,8,0,150,86.51,12.4485,16.623,14.4583,4,4,ATERRONADA,60,F,MEDIA,2062
131,20,Frijol,24700,Otra finca,11,0,8,0,0,332,59.76,152.72,0,4,5,GRANULAR,60,AF,MEDIA,666
132,21,Granadilla,26246,Otra finca,11,2,9,0,0,375,61.875,93.75,43.125,40.5,5,ATERRONADA,60,L,MEDIA,750
133,25,Frijol,28800,La misma finca,9,0,6,2000,0,300,39,78,18,54.7,5,GRANULAR,48,FrL,MEDIA,1750
134,25,Frijol,28800,La misma finca,10,0,4,0,0,300,45,45,45,38.3,4.5,GRANULAR,56,FrL,MEDIA,1120
135,25,Frijol,28800,La misma finca,10,0,3,0,2000,300,30,90,30,50,5,GRANULAR,65,F,MEDIA,1176
136,30,Frijol,38800,La misma finca,13,0,2,0,2500,250,42,84,15,55.2,5,GRANULAR,57,F,MEDIA,2100
137,24,Frijol,27600,La misma finca,8,0,5,0,0,300,37.5,67.5,37.5,45,5,GRANULAR,63,L,MEDIA,562
138,25,Frijol,28800,La misma finca,10,0,3,0,2400,400,60,60,60,48.2,5,GRANULAR,54,L,MEDIA,1758
139,25,Frijol,28800,La misma finca,10,0,2,0,2000,300,45,45,45,41.2,5,GRANULAR,59,FrL,MEDIA,1857
140,24,Frijol,27600,La misma finca,8,0,4,0,2500,500,75,75,75,53,5,GRANULAR,50,L,MEDIA,1886
141,25,Frijol,28800,La misma finca,11,0,2,0,1850,400,61.5,123,24,68,5,GRANULAR,56,F,MEDIA,1222
142,30,Frijol,38800,La misma finca,7,0,5,0,2250,350,42.5,82.5,42.5,48.2,5,GRANULAR,56,L,MEDIA,500
143,25,Frijol,28800,La misma finca,7,0,5,0,2500,300,45,45,45,64,5,GRANULAR,50,FrL,MEDIA,1000
144,25,Frijol,28800,La misma finca,10,0,4,0,0,500,50,150,50,62.2,5,GRANULAR,59,L,MEDIA,1000
145,25,Frijol,28800,La misma finca,9,0,4,0,1250,350,52.5,52.5,52.5,53,5,GRANULAR,50,FAr,MEDIA,1000
146,20,Granadilla,23400,Otra finca,15,3,9,0,0,350,62,121,18,62,4,GRANULAR,60,FAr,MEDIA,340
147,25,Maiz,29900,Otra finca,11,3,8,0,0,437.5,76.25,101.25,45,65,4.5,GRANULAR,60,FAr,MEDIA,500
148,25,Granadilla,27432,Otra finca,15,3,9,285.7,0,428,77.04,196.88,0,44,4.5,GRANULAR,60,ArA,MEDIA,857
149,38,Frijol,44400,La misma finca,9,0,5,2000,2000,300,82,92,0,75.5,5,GRANULAR,53,FA,MEDIA,1300
150,24,Frijol,27600,La misma finca,11,0,5,0,2000,400,66,122,30,55.7,5,GRANULAR,55,FAr,MEDIA,1578
151,24,Frijol,27600,La misma finca,13,0,4,0,2000,300,30,90,30,25,5,GRANULAR,61,ArL,MEDIA,1200
152,24,Frijol,27600,La misma finca,9,0,4,0,2000,300,45,45,45,31.3,5,GRANULAR,46,FAr,MEDIA,2228
153,37,Frijol,43200,La misma finca,6,0,7,1500,2500,500,136,97,0,69,5,GRANULAR,55,ArL,MEDIA,2290
154,25,Frijol,28800,La misma finca,10,0,5,0,3000,300,45,45,45,29.9,4.5,GRANULAR,53,F,MEDIA,1875
155,30,Frijol,34800,La misma finca,11,0,5,0,3000,300,42,61.5,31.5,26.6,4,GRANULAR,25,F,MEDIA,2100
156,25,Frijol,28800,La misma finca,12,0,3,0,2000,300,45,45,45,22.5,5,GRANULAR,59,F,MEDIA,1625
157,24,Frijol,27600,La misma finca,11,0,4,0,2000,300,45,45,45,41.5,5,GRANULAR,47,FAr,MEDIA,1680
158,18,Lulo,21528,Otra finca,14,2,9,0,0,300,48,75,34.5,30,4.5,GRANULAR,60,FrL,MEDIA,1650
159,24,Frijol,29939,Otra finca,9,0,6,0,0,927,139.05,139.05,139.05,59,4,GRANULAR,60,FA,MEDIA,1212
160,26,Maiz,31893,La misma finca,13,2,8,0,0,666.21,116.55,173.16,59.94,42,5,GRANULAR,60,F,MEDIA,666.6
161,15,Frijol,18161,La misma finca,9,3,6,0,0,530.3,65.774,175.038,40.28,48,5,GRANULAR,60,F,MEDIA,735
162,25,Frijol,30550,La misma finca,8,3,7,560,0,560,56,134.4,67.2,45,4,GRANULAR,50,F,MEDIA,1250
163,20,Frijol,25956,Otra finca,12,2,9,625,625,750,95,265,50,2.5,5,GRANULAR,60,FrL,MEDIA,1500
164,23,Frijol,29192,La misma finca,15,1,10,0,1290,348.8,34.4,82.56,41.28,48,4.5,GRANULAR,60,F,MEDIA,1600
